Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.9987789769267196,-4.652598659635116,0.9435271175356689,0.9419998143212911,22.37363695557228,0.8409373301320371
2,0.9998001794983112,-5.310579858687481,0.49876773929666257,0.49576459267937745,22.182904204709534,0.8685177042420986
3,1.0000402310346193,-5.529162814438606,0.8528783794119134,0.8549853037644818,22.8681156803843,0.8788453556795036
4,1.0000034042917159,-5.640962409027873,0.9999510209991018,0.9999545624865309,22.08993556347486,0.8698868155479431
5,1.0000009870214084,-5.758816628729194,0.9999767914742625,0.9999778132869284,23.21235140864982,0.8722653874253805
6,1.0000004795942012,-5.907549672189788,0.9999840960628661,0.9999845827466066,22.513582078928938,0.8766130630948902
7,1.0000004051540392,-5.877617871183656,0.9999889065778202,0.9999893299808587,24.13475607540888,0.8829337226606049
8,1.0000001964064946,-6.003504899629937,0.9999911745739404,0.9999913680921042,22.584386010924653,0.8665176255513082
9,1.0000001743501503,-6.121546383996367,0.9999934226143202,0.9999936002466647,23.838341232753795,0.8908502596669492
10,1.000000073915011,-6.050898750448017,0.9999950453310811,0.9999951151761715,24.105877296706787,0.8892236109328481
11,1.0000000735211478,-6.074293374490107,0.9999954801561549,0.9999955557779069,24.269085887510734,0.9016459942918963
12,1.0000000126036253,-6.185591379976483,0.9999957835621771,0.9999957889449754,24.190602824749575,0.9093937652300944
13,0.999999886567372,-6.255619935527247,0.9999960146286414,0.9999958773016404,24.259165264554632,0.8995330323160222
14,1.000000108312405,-6.269971159586297,0.9999964209642704,0.9999965321650064,24.009903001964233,0.9046997770798945
15,0.9999999737424472,-6.343853890108117,0.9999968809965949,0.9999968383280716,24.69417345120139,0.903811378289113
16,1.000000039517617,-6.380083247953575,0.9999971779695166,0.9999972109227454,24.56171819604716,0.9032545553899445
17,1.0000000362354229,-6.365500102484279,0.9999984395136392,0.9999984762742131,24.571135699177447,0.9070712233011702
18,1.0000000296710345,-6.446657899192776,0.9999988756515906,0.9999989087361071,24.841512430679842,0.9066892793748231
19,0.9999999881841013,-6.374498669796578,0.9999989854081612,0.999998969391054,24.979289344875156,0.9093691928196798
20,1.0000000307213368,-6.456869187334036,0.9999992377432433,0.9999992692523065,24.72807051083968,0.9082342338773002
21,1.0000000047263595,-6.449383541875999,0.9999995313026832,0.999999535241316,23.985248943209765,0.8988122961162466
22,0.9999999971116692,-6.585641549022188,0.9999995491578191,0.9999995452191861,25.50993662672026,0.9215480811828005
23,0.9999999926478852,-6.542771540024207,0.9999995139726984,0.9999995003187709,25.34406999808041,0.9129350143196309
24,0.9999999884466768,-6.575925923654161,0.9999986905358437,0.9999986611273846,25.197624414902773,0.9141265043115194
25,1.0000000026257552,-6.575415027299116,0.9999990276828211,0.9999990085148076,24.140378082039625,0.8964364734371152
26,1.0000000220563443,-6.637850556604663,0.9999998269627273,0.9999998537454311,25.31371237556662,0.915466420945868
27,0.9999999897595544,-6.674353183628704,0.9999999201770396,0.9999999067856877,25.335768009129083,0.9170473165216699
28,0.9999999942233384,-6.694219004215123,0.9999997043399559,0.9999996898983019,25.44209910600602,0.922521337471177
29,0.9999999997374245,-6.624615594679039,0.9999998014929011,0.9999997986045703,25.488595825445532,0.9184911150847916
30,0.9999999965865182,-6.698261579227868,0.9999997051276824,0.9999996922614816,25.165340021343134,0.9171279563313037
